To attend seminars/workshops and carry out assignments for the purposes of increasing knowledge of the research area and improving experimental design and data analysis.
To attend seminars/workshops and carry out assignments for the purposes of increasing knowledgeof the research area and improving experimental design and data analysis.
To present a seminar summarizing research work performed in the previous term/year.
To attend seminars/workshops and carry out assignments for the purposes of increasing knowledge of the research area and improving experimental design and data analysis.
To attend seminars/workshops and carry out assignments for the purposes of increasing knowledge of the research area and improving experimental design and data analysis.
To present a seminar summarizing research work performed in the previous term/year.
To conduct clinical or laboratory-based research work on the assigned research topic.
To conduct clinical or laboratory-based research work on the assigned research topic.
To conduct clinical or laboratory-based research work on the assigned research topic.
To conduct clinical or laboratory-based research work on the assigned research topic.
To conduct clinical or laboratory-based research work on the assigned research topic.
To conduct clinical or laboratory-based research work on the assigned research topic.
To conduct clinical or laboratory-based research work on the assigned research topic.
To conduct clinical or laboratory-based research work on the assigned research topic.
To conduct clinical or laboratory-based research work on the assigned research topic.
To conduct clinical or laboratory-based research work on the assigned research topic.
