To attend seminars and workshops and to perform assignments for the purposes of increasing knowledge of the research area and improving experimental design and data analysis.
To present a seminar summarizing research work performed in the previous term/year.
To attend seminars and workshops and to perform assignments for the purposes of increasing knowledge of the research area and improving experimental design and data analysis.
To present a seminar summarizing research work performed in the previous term/year.
To attend seminars and workshops and to perform assignments for the purposes of increasing knowledge of the research area and improving experimental design and data analysis.
To present a seminar summarizing research work performed in the previous term/year.
To perform research work related to thesis topic under direction of supervisor.
To perform research work related to thesis topic under direction of supervisor.
To perform research work related to thesis topic under direction of supervisor.
To perform research work related to thesis topic under direction of supervisor.
To perform research work related to thesis topic under direction of supervisor.
To perform research work related to thesis topic under direction of supervisor.
To perform research work related to thesis topic under direction of supervisor.
To perform research work related to thesis topic under direction of supervisor.
To perform research work related to thesis topic under direction of supervisor.
To perform research work related to thesis topic under direction of supervisor.
To perform research work related to thesis topic under direction of supervisor.
